Temps_Relatiu_s,SmO2_Percentatge
0.15,0.0
0.71,0.0
1.3,72.1
1.68,0.0
2.22,0.0
2.76,73.8
3.21,0.0
3.72,0.0
4.2,70.6
4.74,72.11
5.22,74.15
5.75,73.99
6.24,0.0
6.72,72.89
7.25,72.39
7.74,0.0
8.22,0.0
8.7,0.0
9.24,0.0
9.75,77.1
10.32,73.5
10.74,0.0
11.27,0.0
11.76,72.01
12.24,0.0
12.79,71.41
13.27,0.0
13.75,0.0
14.28,0.0
14.77,0.0
15.24,0.0
15.79,67.77
16.27,68.87
16.8,0.0
17.29,0.0
17.86,71.2
18.3,71.61
18.78,70.17
19.36,71.5
19.8,73.43
20.28,75.5
20.88,74.9
21.31,0.0
21.78,71.7
22.33,0.0
22.87,74.89
23.35,0.0
23.86,76.93
24.3,75.1
24.88,0.0
25.32,0.0
25.87,0.0
26.42,70.27
26.83,73.09
27.39,0.0
27.85,0.0
28.38,0.0
28.86,0.0
29.35,64.88
29.88,0.0
30.36,0.0
30.84,0.0
31.4,73.47
31.89,68.76
32.41,70.28
32.88,0.0
33.39,0.0
33.91,0.0
34.38,0.0
34.89,0.0
35.4,76.06
35.91,71.87
36.43,78.06
36.91,0.0
37.41,0.0
37.92,0.0
38.4,74.17
39.0,0.0
39.43,78.45
40.47,70.6
40.47,0.0
40.98,0.0
